,year,number
0,1998,0
1,1999,0
2,2000,0
3,2001,0
4,2002,0
5,2003,10
6,2004,0
7,2005,12
8,2006,4
9,2007,0
10,2008,0
11,2009,0
12,2010,1
13,2011,0
14,2012,0
15,2013,0
16,2014,0
17,2015,1
18,2016,12
19,2017,0
20,1998,0
21,1999,0
22,2000,0
23,2001,0
24,2002,1
25,2003,0
26,2004,3
27,2005,0
28,2006,0
29,2007,5
30,2008,0
31,2009,2
32,2010,0
33,2011,0
34,2012,0
35,2013,0
36,2014,0
37,2015,2
38,2016,5
39,2017,1
40,1998,0
41,1999,0
42,2000,11
43,2001,0
44,2002,0
45,2003,0
46,2004,0
47,2005,3
48,2006,0
49,2007,2
50,2008,0
51,2009,1
52,2010,0
53,2011,0
54,2012,1
55,2013,2
56,2014,1
57,2015,2
58,2016,0
59,2017,0
60,1998,0
61,1999,0
62,2000,1
63,2001,0
64,2002,0
65,2003,1
66,2004,2
67,2005,1
68,2006,0
69,2007,0
70,2008,0
71,2009,0
72,2010,3
73,2011,2
74,2012,1
75,2013,19
76,2014,7
77,2015,3
78,2016,0
79,2017,1
80,1998,0
81,1999,0
82,2000,1
83,2001,0
84,2002,0
85,2003,6
86,2004,7
87,2005,2
88,2006,8
89,2007,1
90,2008,0
91,2009,3
92,2010,9
93,2011,3
94,2012,3
95,2013,4
96,2014,1
97,2015,2
98,2016,21
99,2017,10
100,1998,3
101,1999,0
102,2000,1
103,2001,1
104,2002,0
105,2003,0
106,2004,5
107,2005,27
108,2006,1
109,2007,4
110,2008,0
111,2009,0
112,2010,1
113,2011,10
114,2012,7
115,2013,8
116,2014,17
117,2015,40
118,2016,87
119,2017,45
120,1998,37
121,1999,1
122,2000,1
123,2001,3
124,2002,39
125,2003,168
126,2004,42
127,2005,368
128,2006,33
129,2007,29
130,2008,41
131,2009,31
132,2010,126
133,2011,93
134,2012,71
135,2013,54
136,2014,60
137,2015,109
138,2016,533
139,2017,457
140,1998,130
141,1999,63
142,2000,136
143,2001,396
144,2002,728
145,2003,1976
146,2004,645
147,2005,4198
148,2006,839
149,2007,960
150,2008,445
151,2009,194
152,2010,1682
153,2011,425
154,2012,739
155,2013,679
156,2014,11
157,2015,1397
158,2016,2188
159,2017,1493
160,1998,509
161,1999,209
162,2000,265
163,2001,290
164,2002,1949
165,2003,3942
166,2004,1978
167,2005,4253
168,2006,237
169,2007,208
170,2008,1666
171,2009,1265
172,2010,2531
173,2011,1204
174,2012,1996
175,2013,2136
176,2014,2175
177,2015,2928
178,2016,3586
179,2017,3429
180,1998,44
181,1999,60
182,2000,18
183,2001,137
184,2002,687
185,2003,740
186,2004,461
187,2005,547
188,2006,316
189,2007,203
190,2008,652
191,2009,565
192,2010,292
193,2011,97
194,2012,348
195,2013,258
196,2014,406
197,2015,905
198,2016,509
199,2017,1508
200,1998,0
201,1999,0
202,2000,0
203,2001,1
204,2002,86
205,2003,15
206,2004,10
207,2005,14
208,2006,18
209,2007,7
210,2008,4
211,2009,33
212,2010,39
213,2011,74
214,2012,13
215,2013,79
216,2014,56
217,2015,115
218,2016,46
219,2017,98
220,1998,7
221,1999,0
222,2000,0
223,2001,0
224,2002,1
225,2003,1
226,2004,7
227,2005,2
228,2006,0
229,2007,0
230,2008,0
231,2009,1
232,2010,0
233,2011,4
234,2012,1
235,2013,3
236,2014,6
237,2015,8
238,2016,6
